14-05-21,,,,
,,,,
,,,,
,X,Y,Z,T
,,,,
R1.1,883,829,2732,329
R1.2,867.8,879,2703,350
R1.3,845,867,2688,375
R1.4,818,846,2591,400
R1.5,826,850,2503,425
R1.6,849,824,2459,450
R1.7,865,821,2460,475
R1.8,900,853,2440,500
,,,,
R2.1,938.6,910.8,2898,356
R2.2,945,894,2908,375
R2.3,906,875,2828,400
R2.4,900,881,2754,425
R2.5,921,842,2722,450
R2.6,934,839,2734,475
R2.7,959,852,2740,500
,,,,
R3.1,1048,959.8,3084,380
R3.2,1026,935,3040,400
R3.3,1031,930,3004,425
R3.4,1023,906,2983,450
R3.5,1030,901,3006,475
R3.6,1033,912,2982,500
,,,,
R4.1,1115,988,3132,412
R4.2,1107,933,3139,450
R4.3,1133,952,3152,475
R4.4,1151,935,3177,500
,,,,
R5.1,1179,980,3297,463
R5.2,1211,984,3306,475
R5.3,1349,612,3362,500
,,,,
L1.1,984.5,525.4,2711,318
L1.2,989.7,534,2675,350
L1.3,961,523,2654,375
L1.4,917,508,2514,400
L1.5,930,495,2428,425
L1.6,976,454,2416,450
L1.7,1005,426,2412,475
L1.8,1012,444,2392,500
,,,,
L2.1,1088,533.8,2855,363
L2.2,1069,552,2871,375
L2.3,1036,522,2775,400
L2.4,1031,485,2710,425
L2.5,1047,456,2683,450
L2.6,1071,449,2683,475
L2.7,1095,455,2676,500
,,,,
L3.1,1181,571.8,3043,369
L3.2,1157,563,3007,400
L3.3,1096,559,2956,425
L3.4,1144,510,2943,450
L3.5,1128,515,2965,475
L3.6,1157,515,2944,500
,,,,
L4.1,1244,602.7,3140,406
L4.2,1224,556,3151,450
L4.3,1248,570,3170,475
L4.4,1256,565,3171,500
,,,,
L5.1,1337,628.9,3297,430
L5.2,1237,985,3330,475
L5.3,1363,625,3369,500
,,,,
L6.1,1482,659,3538,506
,,,,
RS1.1,883,829,2732,329
RS2.2,938.6,910.8,2898,356
RS1.2,861,872,2678,356
RS3.3,1048,959.8,3084,380
RS1.3,868,895,2679,380
RS2.3,961,930,2867,380
RS4.4,1115,988,3132,412
RS1.4,851,869,2543,412
RS2.4,923,894,2745,412
RS3.4,1041,960,2956,412
RS5.5,1179,980,3297,463
RS1.5,873,836.9,2438,463
RS2.5,936,868,2675,463
RS3.5,1050,926,2931,463
RS4.5,1126,980,3100,463
,,,,
LS1.1,984.5,525.4,2711,318
LS2.2,1088,533.8,2855,363
LS1.2,978,536,2645,363
LS3.3,1181,571.8,3043,369
LS1.3,1015,519,2657,369
LS2.3,1111,531,2839,369
LS4.4,1244,602.7,3140,406
LS1.4,967.8,499.4,2487,406
LS2.4,1057,501.3,2713,406
LS3.4,1155,552,2949,406
LS5.5,1337,628.9,3297,430
LS1.5,995,479,2432,430
LS2.5,1059,473,2675,430
LS3.5,1130,546,2940,430
LS4.5,1236,579,3121,430
LS6.6,1482,659,3538,506
LS1.6,1040,449.6,2347,506
LS2.6,1129,437.3,2655,506
LS3.6,1173,495,2930,506
LS4.6,1288,564,3160,506
LS5.6,1377,607,3361,506
,,,,
NS,911,746,2448,149
,,,,
PE1,953,653,2650,200
,,,,
PE2,1042,614,2958,250
,,,,
PE3,1096,759,3212,300
,,,,
PE4,1185,772,3332,325
,,,,
INTCS,1082,705,2575,431
,,,,
AIP,1295,780,1647,265
,,,,
NSB1,1040,627,2762,230
,,,,
NSB2,1074,645,2917,250
,,,,
NSB3,1131,705,3008,270
,,,,
NSB4,1160,732,3141,290
,,,,
NSB5,1213,747,3265,310
,,,,
NSB6,1232,784,3313,329
,,,,
NSB7,1296,850,3402,350
,,,,
NSB8,1346,825,3414,370
,,,,
HFAP1,2069,1001,611.4,520
HFAP2,1941,945.3,786.5,450
HFAP3,1801,1025,911.9,400
HFAP4,1686,940.9,1070,352
HFAP5,1533,889.1,1279,300
,,,,
HFPP1,1989,982,1593,520
HFPP2,1943,973.4,1526,450
HFPP3,1714,960.4,1522,400
HFPP4,1520,891.2,1377,325
HFPP5,1448,854.5,1526,300
,,,,
AMN1,1331,685.9,1731,520
AMN2,1343,726.2,1675,500
AMN3,1337,758.5,1655,450
AMN4,1266,796.7,1723,400
AMN5,1371,820.9,1779,352
AMN6,1293,783.3,1806,300
AMN7,1297,799.3,1624,250
